Group	Trusted th	Noise th	ROC th	Sensitivity	Specificity	AUC	Average	SD	x0	k
ECF243	75.3	125.1	94.8	0.9889015831565203	0.990406894028698	0.9994101392747592	70.9394842487376	25.20096887656137	1.2899366795631226	6.953349364567408
ECF41	82.5	119.1	110.8	0.9939952290861233	0.9991957888580202	0.9998906472292164	59.611733784812834	36.744936785907484	1.4978082612462256	16.830358380454978
ECF42	73.5	87.2	82.2	0.9998057120652808	0.9998799663905894	0.9999997391925656	51.15412726694712	36.50280997435505	0.9929639713736645	1911.8244763178839
ECF39	96.1	136.3	112.7	0.9945513984743916	0.993179348454371	0.9998479794836879	63.300199617031026	25.45829065176516	2.5334296106073357	7.495114068152529
ECF26	63.6	152.4	115.0	0.9913064477179425	0.9544837474641163	0.9967689485972436	70.18066302427196	27.968633169350333	2.71473930157647	12.90544856276344
ECF240	62.4	126.9	97.6	0.9773832684824902	0.979137913943895	0.995858423927064	67.08561944122016	20.777671961786616	2.10248858973019	4.90998506487984
ECF56	140.5	199.0	140.5	1.0	0.9995139474303768	0.9999656708853558	61.5027665441856	30.408006298460514	2.325113520256671	35.10119482797438
ECF19	97.3	153.9	118.6	0.9940968122786304	0.9753698690386817	0.9986075720380629	65.14508757273083	25.366604958289116	2.994162966870724	5.533170547286487
ECF12	122.5	149.4	136.8	0.9978314745972738	0.9992047322219781	0.9999762081333889	65.76950886817141	34.16903389774413	2.324640749923979	12.985883594737524
ECF218	66.8	121.9	109.3	0.989134013829437	0.9975268865998094	0.9993251115515719	69.82596278251356	20.150157878455524	2.228016396055279	9.485484526377025
ECF30	97.2	147.2	116.7	0.9887323943661972	0.9922745225383064	0.9991661338757288	63.614438965244446	27.34213776948865	2.5951720457442966	5.986183243939921
ECF18	98.7	144.7	130.6	0.9883227176220807	0.9969342988530049	0.9998376657808605	59.13685226121737	24.482713025620697	3.3044055976692164	13.533488297905011
ECF21	105.0	155.5	105.0	1.0	0.9917687105568358	0.9998475560818486	56.89403884399561	24.94696038160117	3.3498578908675496	5.06308602625413
ECF17	103.6	124.4	110.7	0.9991408934707904	0.9993680932212953	0.9999970238803839	59.678043605231444	22.63239536201818	2.7061929504698883	14.625967122999294
ECF02	153.1	149.8	153.1	1.0	1.0	1.0	53.95094300564104	31.89413656978219	3.0565754579695987	502.2048808633088
ECF293	62.4	118.2	108.7	0.9935394554683895	0.9975956481231029	0.9994372566999707	64.43547638234794	20.002256531515343	2.7103932268123434	412.03249020089993
ECF15	118.4	162.2	146.4	0.9905123339658444	0.9991137881052339	0.9998363612572262	60.84395271294331	29.73140820784571	3.02273534723893	23.592698463970276
ECF14	105.3	152.3	140.2	0.976926853215513	0.9971025806548468	0.9993660170159608	73.90841274887438	27.719725386736904	2.789601551840401	10.77200817349889
ECF22	91.0	130.2	102.6	0.9964102564102564	0.9921835735021641	0.9998372452972668	56.71321021152013	24.17716448433137	2.656332846863525	8.55333861298641
ECF235	88.7	140.7	108.0	0.9417989417989417	0.9631773500588593	0.9935224311623625	71.60244567829128	21.668496272275426	2.572089903491352	5.46372676165763
ECF265	119.4	138.2	120.8	0.9994385176866929	0.9944485233521629	0.9999457459795931	68.685647535469	24.560174312858702	2.688350475637977	25.38592003219151
ECF16	116.1	98.6	116.1	1.0	1.0	1.0	48.886046030208696	19.92031876816616	2.9356297126430024	53.98335872570013
ECF27	125.4	137.3	125.4	1.0	0.9996257064790208	0.9999991078666973	60.45605689824707	27.963807786334733	2.5391643321741544	12.7875869682015
ECF40	132.6	107.4	132.6	1.0	1.0	1.0	35.674665641473034	22.611459495332237	3.7321795160118763	44.82133762109827
ECF11	125.7	139.6	136.2	0.9993757802746567	0.9999700726486455	0.9999994068705335	51.32308312201036	25.9818763093258	3.4495953796404684	205.14673092338225
ECF38	121.9	145.9	127.2	0.9993288590604027	0.997570438591901	0.9999891202810254	55.926124694105376	21.636769733303108	4.000412501651766	18.5598427205582
ECF36	152.5	116.8	152.5	1.0	1.0	1.0	55.46896472693129	24.26361908038198	3.2754952583208836	33.514854610735675
ECF52	100.7	82.5	100.7	1.0	1.0	1.0	40.67267390709676	18.857416548810814	2.703262312313745	49.42219504524899
ECF03	82.6	140.9	138.8	0.9698608964451314	0.9999328182734296	0.9978575138227008	64.1530582068476	28.111201386087824	2.7389018929607714	1011.6995740022446
ECF37	156.6	92.4	156.6	1.0	1.0	1.0	39.56582408564311	20.732132462090327	4.116767713713471	15.253355514940923
ECF23	100.6	104.7	100.6	1.0	0.9999403474759526	0.9999998507388976	47.91990773257232	16.79076272698847	3.2610510611485806	12.075707430615962
ECF214	130.5	137.2	130.5	1.0	0.9999180266785901	0.9999996514443346	48.98856194412202	25.911816237644082	3.2811127744482524	20.552882439701936
ECF228	145.9	120.0	145.9	1.0	1.0	1.0	44.26260803347652	22.608556250057305	3.9294804242251065	44.419256222057626
ECF35	97.3	125.8	118.6	0.9980525803310614	0.9995455629060135	0.9999818833041929	61.91068616506111	19.67213125820812	3.260426050512758	812.759639918105
ECF120	103.6	120.4	109.0	0.9990176817288802	0.9978993005117661	0.9999779045893606	66.31544222565597	18.70914125086292	2.7001721395640215	13.490850545630604
ECF123	138.5	102.1	138.5	1.0	1.0	0.9999999999999999	34.93180195033232	20.471934148645403	4.175256855343222	26.104156855681264
ECF290	73.3	132.8	128.1	0.976530612244898	0.9999031866486942	0.9981737498729039	69.53743780450839	19.765464423663555	3.162182406082226	23.94872503075109
ECF121	186.0	108.4	186.0	1.0	1.0	1.0	41.14148559430426	20.85624294822493	5.077944743369501	12.674808123007756
ECF207	113.8	145.3	138.2	0.9988372093023256	0.9998511893689686	0.9999748103399856	57.652227208540644	24.805066305408296	3.523780208884082	10.734568565043766
ECF241	123.6	106.0	123.6	1.0	1.0	1.0	46.255559334314164	19.073832847625894	3.5955304911119845	53.36441581800951
ECF238	99.0	106.0	101.3	0.9987995198079231	0.9993007305134424	0.9999948158931196	58.38603937630767	19.083037034442626	2.504709765120366	60.98917778876216
ECF116	127.3	139.9	127.3	1.0	0.9993007773273329	0.9999990250458499	60.559668487864016	21.447955346442246	3.7459213954931414	19.46236024631708
ECF51	112.7	120.5	112.7	1.0	0.9998141236300911	0.9999997557472142	60.13048373860519	18.178459565564218	3.394156876698978	158.2931091000423
ECF29	141.7	155.4	141.7	1.0	0.999933088486759	0.9999987855812116	59.90271035568797	24.886688743292105	3.347170833179276	20.552323850625616
ECF275	135.5	151.9	135.5	1.0	0.999204679753525	0.9999954342230911	54.90241240878611	25.205776584972483	3.6451412273253974	9.033098537484621
ECF248	133.4	146.5	138.3	0.9985855728429985	0.9985804744634045	0.9999816616016455	54.23762041712566	25.702949604385125	3.552325050768762	13.348373382057213
ECF114	111.3	147.8	135.7	0.9985443959243085	0.9997622090776684	0.9999645649990194	46.97454808922142	27.145816247629202	3.647779974570235	9.976543225498506
ECF245	183.5	156.6	183.5	1.0	1.0	1.0	59.57307314115881	27.044876501889554	4.0865761712386615	50.937331281057304
ECF28	145.3	110.9	145.3	1.0	1.0	1.0	46.61928522316445	21.421773650749437	3.803720085440753	29.33043828026825
ECF118	143.0	103.5	143.0	1.0	1.0	1.0	45.787580124058294	19.411803445247433	3.982779723268158	22.116703572076364
ECF102	119.3	123.2	119.3	1.0	0.9998440945232633	0.9999973315619131	48.051609874389136	23.334854252399452	3.0925486246547287	46.5769129057812
