Group	Trusted th	Noise th	ROC th	Sensitivity	Specificity	AUC	Average	SD	x0	k
ECF12s1	175.9	242.4	214.2	0.9991345737775854	0.9987198555582688	0.9999401477728355	54.29760498210285	36.36432910164462	4.589860643993864	10.931189177621086
ECF42s1	147.4	224.7	165.6	0.997037037037037	0.9894998781631432	0.9967347503602461	38.620607193784004	36.74640960507859	4.098649793364299	2.9246720566985935
ECF02s1	153.5	229.3	153.5	1.0	0.9978226371923091	0.9992719109503584	53.811019119401685	31.730378421644076	4.108645384581595	2.0972515465230415
ECF14s1	183.3	244.5	183.3	1.0	0.9973215205521788	0.9993637560102849	59.652384832523346	30.622576628579928	5.250760807661368	7.064974868490952
ECF41s1	138.9	226.3	171.0	0.9987004548408057	0.9975278303032087	0.9999334417321879	38.75644661409074	35.65469525503088	4.169242119584732	10.322701525719216
ECF15s1	174.9	195.1	174.9	1.0	0.9989348573443423	0.9999663873477525	54.6607666676367	29.45390545101485	4.411356604340709	14.637745361829811
ECF41s2	154.0	212.2	181.4	0.9991708126036484	0.994297080281256	0.999895452375202	38.256015918284206	36.799098594789406	4.5793105088560795	19.84311399665472
ECF42s2	171.1	246.0	176.0	0.9991503823279524	0.9976518070078885	0.999983684098714	26.72102624916334	34.33089310838643	4.922919300012417	39.72830134261962
ECF42s3	181.9	215.5	181.9	1.0	0.9988191979346965	0.9999873943878899	35.19214562174431	36.012422994061225	4.490925439229223	15.086272990418607
ECF42s4	181.7	230.4	181.7	1.0	0.9990396387282178	0.9999964046520925	29.635094432965687	37.137036175407246	4.587936950138505	16.25639719278453
ECF41s3	161.4	185.0	166.2	0.9990421455938697	0.9997140930150724	0.9999981532189548	42.41198964001979	34.97574595846048	3.8594732761625363	14.089934068750956
ECF42s5	159.7	215.2	187.5	0.995049504950495	0.997903871241993	0.9998789425050009	36.599722084800504	38.21089977449217	4.302893181677962	14.975193569883476
ECF41s4	140.8	198.0	157.4	0.9950248756218906	0.9877901309666024	0.9989132514303023	43.56980545936035	35.594782817369705	4.143859867314908	15.7286364442741
ECF41s5	132.5	216.0	168.3	0.9821615949632738	0.9893039509446956	0.9914462972015976	44.13560806681604	35.193190702141024	5.004877598278581	1.2273051322890014
ECF56s1	186.8	218.1	186.8	1.0	0.9905570532731641	0.9999079098406971	52.27975584203939	30.787787948195508	5.22263319413315	16.313825508787566
ECF41s6	166.7	211.6	166.7	1.0	0.9995678257238919	0.9999814362985111	40.1151907575008	36.02282779062652	3.800161357319841	13.35859211237627
ECF56s2	168.9	218.2	196.6	0.9987908101571947	0.9982799634034767	0.9999559027382121	51.776616564327895	30.03513128571506	5.339198185251043	9.773144753456378
ECF19s1	180.9	206.3	180.9	1.0	0.998162881421681	0.9999673563790467	41.78727846811978	26.695530584055213	5.860646587034652	7.472300420546872
ECF41s7	173.1	178.7	173.1	1.0	0.9999560928489887	0.9999998719374762	32.94422489305357	35.66971722033803	4.017824708692007	18.241721332450663
ECF41s8	157.5	181.7	166.8	0.9972027972027973	0.9990200165280795	0.9999785970627806	46.911817943718546	33.334812616032536	3.8532054292870668	20.392441162700592
ECF42s6	147.7	228.2	173.6	0.9956896551724138	0.9861797654216269	0.9950929100423171	35.617695631929685	37.06497852595478	5.0969960429887635	2.1762333170578407
ECF37s1	190.2	181.3	190.2	1.0	1.0	1.0	30.486618601402668	22.31228077914611	6.958979704535819	129.138093528144
ECF40s1	179.2	238.0	179.2	1.0	0.9988886451707246	0.9999766287860026	30.151795535896163	23.32700547632486	7.091647938902044	25.737070474565595
ECF26s1	166.7	188.2	166.7	1.0	0.9998610816620482	0.999997348108086	47.23612679335331	26.209729456653083	4.977166440736647	7.352073359287554
ECF41s9	164.8	217.0	178.9	0.9984152139461173	0.9998392059698438	0.9999388479986882	40.5851068009196	34.35205192746745	4.108415735162858	15.224968571641226
ECF27s1	207.1	220.3	207.1	1.0	0.9991962354591688	0.9999970453438934	49.099818845851644	27.52418675163468	6.119319212714379	42.30274724091281
ECF19s2	156.0	195.5	174.6	0.9983136593591906	0.9960397197115279	0.9999411698654121	41.98623301225155	25.64741558841849	5.858278489266114	17.29085691203065
ECF26s2	165.5	184.6	165.5	1.0	0.9998538930204696	0.9999986318604391	37.67769403137095	26.00026281907724	5.204503915191019	9.860424650430758
ECF39s1	244.3	150.5	244.3	1.0	1.0	1.0	33.9886069318744	23.831045441126506	6.881030064555752	12.725617983212302
ECF52s1	182.3	184.1	182.3	1.0	0.9999123627015658	0.9999998327532472	20.357759072257952	20.703364455845325	8.094816353040468	17.616206515679455
ECF123s1	212.2	193.5	212.2	1.0	1.0	1.0	27.692638884847078	21.7747974784319	8.039537043735779	54.626579271290964
ECF42s7	183.6	153.6	183.6	1.0	1.0	1.0	30.54061126793353	30.878816378197506	4.467436994094867	47.4818128566557
ECF38s1	199.6	168.8	199.6	1.0	1.0	0.9999999999999999	30.784666647265954	21.541173880005694	7.12221783332474	33.191157706486415
ECF39s2	210.6	185.7	210.6	1.0	1.0	1.0	29.10201088379944	26.6602547385992	6.34490931921651	53.79823141131702
ECF56s3	161.2	216.3	185.3	0.9938650306748467	0.9914356432029088	0.999767338236095	56.4952703489218	28.217547014490574	5.032180467420591	24.57846472545471
ECF121s1	247.9	233.4	247.9	1.0	1.0	1.0	32.240583621918915	22.382781718490637	9.312149352297292	73.0408325673957
ECF228s1	194.0	210.2	194.0	1.0	0.9992700676647275	0.9999842331392922	36.939611646247414	22.736568109126434	7.419497783819598	5.762155274709707
ECF245s1	196.0	231.7	196.0	1.0	0.9995329114940263	0.9999667785996942	56.02886389430492	27.399222837175593	5.44852513228678	25.205766361018092
ECF16s1	168.6	202.4	168.6	1.0	0.9999051268016785	0.9999977097804764	35.77003244769083	20.586527293485116	6.7209197561464356	7.211504110763958
ECF290s1	177.2	224.2	177.2	1.0	0.999708090988039	0.9999196991432522	50.4791272589704	21.715858266440453	6.262268657411769	2.4705920860436144
ECF18s1	187.6	224.0	187.6	1.0	0.9996132346716873	0.9999767982702299	43.90300832290545	22.034816704004523	7.1438194252322775	11.494012544797043
ECF122s1	188.4	203.3	188.4	1.0	0.9998175701807515	0.9999936480852281	40.01952463405408	16.215594688452313	9.442647506091705	6.005655749821725
ECF56s4	152.6	228.8	152.6	1.0	0.9765254447541629	0.995113292666909	55.684155923522404	30.25020668238669	5.830497662319018	2.0059307376079842
ECF243s1	201.3	248.9	201.3	1.0	0.9999708122938619	0.999999230961174	26.391958647382364	20.97512279546322	8.41140248694866	6.761691323962483
ECF27s2	165.0	219.3	165.0	1.0	0.9921711404744011	0.9989472642030208	56.88108139568722	27.66305564495025	5.507365488888585	39.55973042537003
ECF243s2	191.1	142.6	191.1	1.0	1.0	1.0	31.927856997351803	18.240297836859746	7.416279197573278	18.05901285529214
ECF38s2	167.8	131.4	167.8	1.0	1.0	1.0	34.530768559206116	21.194500968356984	5.429364153865175	28.347768798085493
ECF41s10	146.7	180.1	161.7	0.9948979591836735	0.9977090325404933	0.9999395561157485	36.67369627215319	34.23026015920886	4.1352151898622	13.035176866515124
ECF36s1	203.6	209.8	203.6	1.0	0.999934338681083	0.9999982755613214	47.851885749207	23.161868042658963	6.811504979543777	20.504788558307
ECF40s2	214.8	204.6	214.8	1.0	1.0	1.0	18.21094054651806	22.68052756344451	8.442900679615974	114.05131296967284
ECF39s3	190.3	154.2	190.3	1.0	1.0	1.0	35.38835229752931	22.356400150318077	6.127814620374852	29.688384660260013
ECF243s3	199.4	162.9	199.4	1.0	1.0	1.0	32.954958094462064	19.925346081273858	7.4452044243575	26.229883605524744
ECF243s4	181.0	247.6	181.0	1.0	0.9990589574123517	0.9996612798731237	29.87066830602683	27.046865832890308	6.945220822665139	1.4426764058899537
ECF41s11	166.6	167.8	166.6	1.0	0.9999927053622882	0.9999999800146913	29.761945260891068	33.630160881693484	4.119112329565292	15.770624526613757
ECF17s1	191.1	185.9	191.1	1.0	1.0	1.0	35.968333672845795	22.602711575469556	6.748458578371214	217.59997769762822
ECF218s1	142.7	214.0	142.7	1.0	0.9982274418265373	0.9997613174230422	49.58106466257313	21.83631276327524	6.829217196293703	3.2613606012414
ECF243s5	184.5	236.8	184.5	1.0	0.9978919112122605	0.999448836489728	37.11434973663535	28.66566085843378	6.114186455782467	2.5609582694597828
ECF22s1	200.5	239.8	200.5	1.0	0.9998978855004704	0.9999918229435155	26.215135465471583	24.54026734073732	7.318134829993971	4.467492116247542
ECF243s6	198.4	146.4	198.4	1.0	1.0	1.0	31.98090387917236	21.042534208304787	6.677698964581522	19.36025967094011
ECF52s2	153.1	175.4	153.1	1.0	0.9975202753952973	0.9999907010327325	30.046467857870386	18.71813995727938	7.61899332769207	9.238655360537024
ECF293s1	169.4	185.5	169.4	1.0	0.9995915807284449	0.9999980580233284	39.164180222914176	19.376517203411005	7.217040840136163	682.6505148891299
ECF102s1	249.6	198.4	249.6	1.0	1.0	0.9999999999999999	25.992288216977563	21.782315657971107	9.126533141316427	21.293100357317996
ECF42s8	170.3	220.9	170.3	1.0	0.9870188591181576	0.9985796103712996	36.46539519250356	35.60477727498157	4.6774142846388775	3.9254229478496927
ECF248s1	184.5	155.5	184.5	1.0	1.0	1.0	35.78720426039636	22.280932458455744	6.026720150840524	36.72884234356686
ECF12s2	142.6	232.3	142.6	1.0	0.9791292933712535	0.9864471103042722	59.15374821755958	34.522266034106224	7.561184276342582	0.8029897188019365
ECF19s3	157.4	220.4	172.5	0.9968847352024922	0.9930358562250695	0.9993724308141037	46.62447108808894	26.383789317383066	5.6884694685758435	8.088658513675226
ECF03s1	169.6	232.7	169.6	1.0	0.9944360178514132	0.9998885084261879	40.548341239123474	27.271013497759235	6.4156923820659255	7.6776490077689115
ECF207s1	217.6	215.4	217.6	1.0	1.0	1.0	45.835157727788605	23.60064098706111	7.23105462577992	560.5871246348149
ECF36s2	187.5	207.3	187.5	1.0	0.9977103689660202	0.9997355664060309	49.07511276663854	23.913203039655908	6.556099077732837	12.598441526804498
ECF243s7	173.0	218.4	173.0	1.0	0.9959019979582908	0.9990233754202144	37.923237930332036	28.784651589692658	6.035799173130237	2.500907583915725
ECF35s1	160.9	235.7	160.9	1.0	0.9995771022756272	0.9999965709044201	43.62182143584669	19.326478481233718	8.976347848345872	251.24783269671332
ECF243s9	201.6	248.9	201.6	1.0	0.9999052160345305	0.999961868660252	28.311760469109217	27.32471341710369	5.98202459188484	27.367484374070592
ECF243s8	190.8	232.9	190.8	1.0	0.9992854747218455	0.9999400810708737	37.22677007246166	21.601413931645727	8.586235888042575	3.5128740359368593
ECF241s1	190.2	160.5	190.2	1.0	1.0	1.0000000000000002	24.389587637866303	18.176891228913348	8.301642392161854	29.404963585842154
ECF19s4	189.1	219.1	189.1	1.0	0.9998760526411724	0.9999313858451331	40.39210560777581	21.064487065689296	7.013005882848778	212.71842657777222
ECF290s2	176.0	176.0	176.0	1.0	0.9999927095635944	0.9999999872544818	53.255737275558026	19.744635623352604	6.216587890997097	30.803158443466575
ECF42s9	198.5	216.0	198.5	1.0	0.9999927099356287	0.9999992945098996	25.917306405145073	34.22470093409854	4.818517876148087	47.492712637722455
ECF56s5	200.0	203.4	200.0	1.0	0.9999927100950604	0.9999998679365047	51.991807321828716	28.525155196354607	5.148213941934658	271.10434645903604
ECF39s4	167.1	195.5	167.1	1.0	0.9980754650959351	0.9998883799337865	44.693683613188604	23.900554964943513	5.802153746168353	9.099091825113208
ECF123s2	200.5	209.8	200.5	1.0	0.9998760761329922	0.9999995427163578	23.338150045106655	20.266678796079546	9.31650248255856	94.96673985179874
ECF293s2	176.7	227.9	176.7	1.0	0.9995480522509914	0.9999742284248805	34.70704609609172	20.576702925150858	8.928158810049094	5.812863753526723
ECF218s2	179.6	211.1	179.6	1.0	0.9988118234500857	0.9997887840840419	45.292594505718355	21.33001641098151	6.964826017034715	3.2432073784917708
ECF21s1	175.3	232.0	175.3	1.0	0.9992273376680176	0.9998846556285071	36.39435875796642	24.539111577552003	6.775417402407937	4.452273637584342
ECF17s2	202.0	200.7	202.0	1.0	1.0	1.0	36.44095975322295	22.914366099407243	7.19657542049092	912.8807047041128
ECF11s1	176.4	206.8	176.4	1.0	0.9997667536481187	0.9999940247573373	40.07076070191775	24.645924866861947	6.0246414208290675	38.40254710909094
ECF28s1	168.6	236.2	168.6	1.0	0.9970990407883612	0.9991899419899268	45.97274539475599	21.459106458530126	8.282858294720127	1.1365608204818671
ECF39s5	170.1	180.9	170.1	1.0	0.9997303148028018	0.9999966271485671	46.33848761749556	25.235033092007534	5.27795710095277	11.733043861232355
ECF33s1	178.2	186.2	178.2	1.0	0.9999781336326596	0.9999997713321063	44.60395338008905	22.45915277958874	6.116350544706032	6.134983178256144
ECF243s10	167.6	223.0	167.6	1.0	0.9974781341107871	0.9998387679901892	36.47040857899485	28.70937740000486	5.468432098540963	7.427844517142996
ECF29s1	161.2	216.8	161.2	1.0	0.9973979781488473	0.9996806964603739	56.50325859209033	24.778973216841923	5.656597198118717	2.559716688777834
ECF28s2	144.7	233.3	144.7	1.0	0.997018972164926	0.998980818876519	42.77128961382883	21.189346612068256	8.613194484343763	0.8550416876786135
ECF11s2	185.0	176.3	185.0	1.0	1.0	1.0	35.05287009283241	24.064565905110594	6.049446808625888	138.516501439111
ECF56s6	190.4	207.2	190.4	1.0	0.9936079648984709	0.9999073045582426	53.80604647440561	28.76910102821817	5.1944936720702914	16.211763634896855
